pattern,stride,size_B,iters,ops,avg_ns,bw_MBps
pattern=rand_read,stride=32,size=268435456,iters=64,ops=64000000,avg_ns=112.415,bw_MBps=569.32
pattern=rand_read,stride=64,size=268435456,iters=64,ops=64000000,avg_ns=110.912,bw_MBps=577.03
pattern=rand_read,stride=128,size=268435456,iters=64,ops=64000000,avg_ns=118.740,bw_MBps=538.99
pattern=rand_read,stride=256,size=268435456,iters=64,ops=64000000,avg_ns=121.256,bw_MBps=527.81
pattern=rand_read,stride=512,size=268435456,iters=64,ops=64000000,avg_ns=110.842,bw_MBps=577.40
pattern=rand_read,stride=1024,size=268435456,iters=64,ops=64000000,avg_ns=110.808,bw_MBps=577.58
pattern=rand_read,stride=2048,size=268435456,iters=64,ops=64000000,avg_ns=41.750,bw_MBps=1532.94
pattern=seq_read,stride=32,size=268435456,iters=64,ops=536870912,avg_ns=0.748,bw_MBps=85612.70
pattern=seq_read,stride=64,size=268435456,iters=64,ops=268435456,avg_ns=1.574,bw_MBps=40667.01
pattern=seq_read,stride=128,size=268435456,iters=64,ops=134217728,avg_ns=4.881,bw_MBps=13112.74
pattern=seq_read,stride=256,size=268435456,iters=64,ops=67108864,avg_ns=4.586,bw_MBps=13955.07
pattern=seq_read,stride=512,size=268435456,iters=64,ops=33554432,avg_ns=4.321,bw_MBps=14812.97
pattern=seq_read,stride=1024,size=268435456,iters=64,ops=16777216,avg_ns=4.726,bw_MBps=13542.38
pattern=seq_read,stride=2048,size=268435456,iters=64,ops=8388608,avg_ns=5.090,bw_MBps=12573.88
pattern=seq_write,stride=32,size=268435456,iters=64,ops=536870912,avg_ns=1.365,bw_MBps=46883.52
pattern=seq_write,stride=64,size=268435456,iters=64,ops=268435456,avg_ns=3.184,bw_MBps=20097.82
pattern=seq_write,stride=128,size=268435456,iters=64,ops=134217728,avg_ns=6.450,bw_MBps=9922.48
pattern=seq_write,stride=256,size=268435456,iters=64,ops=67108864,avg_ns=6.334,bw_MBps=10104.12
pattern=seq_write,stride=512,size=268435456,iters=64,ops=33554432,avg_ns=7.556,bw_MBps=8469.53
pattern=seq_write,stride=1024,size=268435456,iters=64,ops=16777216,avg_ns=6.409,bw_MBps=9985.59
pattern=seq_write,stride=2048,size=268435456,iters=64,ops=8388608,avg_ns=5.399,bw_MBps=11854.73
pattern=rand_write,stride=32,size=268435456,iters=64,ops=64000000,avg_ns=109.888,bw_MBps=582.41
pattern=rand_write,stride=64,size=268435456,iters=64,ops=64000000,avg_ns=99.231,bw_MBps=644.96
pattern=rand_write,stride=128,size=268435456,iters=64,ops=64000000,avg_ns=52.271,bw_MBps=1224.40
pattern=rand_write,stride=256,size=268435456,iters=64,ops=64000000,avg_ns=26.037,bw_MBps=2458.01
pattern=rand_write,stride=512,size=268435456,iters=64,ops=64000000,avg_ns=11.219,bw_MBps=5704.62
pattern=rand_write,stride=1024,size=268435456,iters=64,ops=64000000,avg_ns=12.903,bw_MBps=4960.10
pattern=rand_write,stride=2048,size=268435456,iters=64,ops=64000000,avg_ns=10.974,bw_MBps=5831.96
