kernel,shape,variant,threads,time_sec
gemm,square,baseline,1,0.087061
spmm,square,baseline,1,0.002021
gemm,square,simd,1,0.057368
spmm,square,simd,1,0.001935
gemm,square,thread,1,0.086776
spmm,square,thread,1,0.002068
gemm,square,simd_thread,1,0.066314
spmm,square,simd_thread,1,0.001843
gemm,square,thread,2,0.056944
spmm,square,thread,2,0.001458
gemm,square,simd_thread,2,0.042861
spmm,square,simd_thread,2,0.001226
gemm,square,thread,4,0.034689
spmm,square,thread,4,0.000988
gemm,square,simd_thread,4,0.027430
spmm,square,simd_thread,4,0.000821
gemm,square,thread,6,0.028995
spmm,square,thread,6,0.000994
gemm,square,simd_thread,6,0.024665
spmm,square,simd_thread,6,0.000941
gemm,square,thread,8,0.028468
spmm,square,thread,8,0.000974
gemm,square,simd_thread,8,0.023736
spmm,square,simd_thread,8,0.000964
gemm,square,thread,12,0.025696
spmm,square,thread,12,0.000928
gemm,square,simd_thread,12,0.020506
spmm,square,simd_thread,12,0.000943
gemm,tall_skinny,baseline,1,0.084355
spmm,tall_skinny,baseline,1,0.001035
gemm,tall_skinny,simd,1,0.071238
spmm,tall_skinny,simd,1,0.000793
gemm,tall_skinny,thread,1,0.080920
spmm,tall_skinny,thread,1,0.000980
gemm,tall_skinny,simd_thread,1,0.073916
spmm,tall_skinny,simd_thread,1,0.000798
gemm,tall_skinny,thread,2,0.044703
spmm,tall_skinny,thread,2,0.000492
gemm,tall_skinny,simd_thread,2,0.046214
spmm,tall_skinny,simd_thread,2,0.000418
gemm,tall_skinny,thread,4,0.034662
spmm,tall_skinny,thread,4,0.000481
gemm,tall_skinny,simd_thread,4,0.030239
spmm,tall_skinny,simd_thread,4,0.000219
gemm,tall_skinny,thread,6,0.024777
spmm,tall_skinny,thread,6,0.000398
gemm,tall_skinny,simd_thread,6,0.022545
spmm,tall_skinny,simd_thread,6,0.000171
gemm,tall_skinny,thread,8,0.028091
spmm,tall_skinny,thread,8,0.000256
gemm,tall_skinny,simd_thread,8,0.022937
spmm,tall_skinny,simd_thread,8,0.000221
gemm,tall_skinny,thread,12,0.023908
spmm,tall_skinny,thread,12,0.000173
gemm,tall_skinny,simd_thread,12,0.019987
spmm,tall_skinny,simd_thread,12,0.000220
gemm,fat,baseline,1,0.096235
spmm,fat,baseline,1,0.001023
gemm,fat,simd,1,0.091295
spmm,fat,simd,1,0.000903
gemm,fat,thread,1,0.105310
spmm,fat,thread,1,0.001104
gemm,fat,simd_thread,1,0.076994
spmm,fat,simd_thread,1,0.000820
gemm,fat,thread,2,0.064001
spmm,fat,thread,2,0.000557
gemm,fat,simd_thread,2,0.055666
spmm,fat,simd_thread,2,0.000408
gemm,fat,thread,4,0.035164
spmm,fat,thread,4,0.000290
gemm,fat,simd_thread,4,0.030790
spmm,fat,simd_thread,4,0.000266
gemm,fat,thread,6,0.033144
spmm,fat,thread,6,0.000319
gemm,fat,simd_thread,6,0.031324
spmm,fat,simd_thread,6,0.000170
gemm,fat,thread,8,0.031264
spmm,fat,thread,8,0.000317
gemm,fat,simd_thread,8,0.027069
spmm,fat,simd_thread,8,0.000201
gemm,fat,thread,12,0.027255
spmm,fat,thread,12,0.000186
gemm,fat,simd_thread,12,0.024923
spmm,fat,simd_thread,12,0.000477
