density,gemm_time_sec,gemm_gflops,spmm_time_sec,spmm_gflops,nnz
0.001,12.949807,10.613,0.053448,2.549501,16634
0.002,13.684132,10.044,0.070215,3.868785,33160
0.005,13.522685,10.164,0.120177,5.668831,83162
0.01,12.934252,10.626,0.171464,7.962050,166651
0.02,13.389579,10.265,0.358992,7.628519,334299
0.05,12.879940,10.671,0.725920,9.449486,837350
0.10,12.952808,10.611,1.481938,9.264677,1675986
0.20,13.485309,10.192,3.081787,8.909737,3351796
0.30,13.185197,10.424,4.469305,9.215824,5027872
0.50,12.952324,10.611,7.290038,9.421803,8384436
0.8,13.370292,10.279,11.359476,9.677447,13419278
