filter,target_fpr,param_bits,neg_share,nqueries,secs,qps,mops,lat_p50_ns,lat_p95_ns,lat_p99_ns,hit_rate
BlockedBloom,0.050000,-1,0,1000000,0.048501,20618077.596,20.618,22,34,44,1.000000
XOR,0.050000,8,0,1000000,0.052138,19179726.078,19.180,33,34,55,1.000000
Cuckoo,0.050000,8,0,1000000,0.059794,16724136.374,16.724,33,111,133,1.000000
Quotient,0.050000,8,0,1000000,0.107520,9300632.347,9.301,66,165,375,0.972507
BlockedBloom,0.050000,-1,10,1000000,0.045141,22153031.904,22.153,22,33,44,0.905347
XOR,0.050000,8,10,1000000,0.053274,18770812.138,18.771,33,44,66,0.900369
Cuckoo,0.050000,8,10,1000000,0.068540,14589927.190,14.590,33,121,198,0.901462
Quotient,0.050000,8,10,1000000,0.134110,7456556.332,7.457,110,199,397,0.873680
BlockedBloom,0.050000,-1,20,1000000,0.052908,18900788.363,18.901,33,44,45,0.810632
XOR,0.050000,8,20,1000000,0.058701,17035424.262,17.035,33,44,121,0.800768
Cuckoo,0.050000,8,20,1000000,0.107344,9315871.465,9.316,45,165,375,0.802939
Quotient,0.050000,8,20,1000000,0.124369,8040608.159,8.041,110,198,397,0.776049
BlockedBloom,0.050000,-1,30,1000000,0.048137,20774213.384,20.774,22,34,44,0.715801
XOR,0.050000,8,30,1000000,0.056253,17776769.637,17.777,33,44,67,0.701147
Cuckoo,0.050000,8,30,1000000,0.070681,14148053.523,14.148,33,122,220,0.704424
Quotient,0.050000,8,30,1000000,0.095444,10477360.378,10.477,44,144,352,0.679235
BlockedBloom,0.050000,-1,40,1000000,0.049575,20171369.907,20.171,33,44,45,0.620997
XOR,0.050000,8,40,1000000,0.057183,17487607.844,17.488,33,44,66,0.601573
Cuckoo,0.050000,8,40,1000000,0.054371,18392295.600,18.392,33,66,132,0.605869
Quotient,0.050000,8,40,1000000,0.074786,13371399.926,13.371,33,132,232,0.582703
BlockedBloom,0.050000,-1,50,1000000,0.047594,21011071.679,21.011,23,44,44,0.526244
XOR,0.050000,8,50,1000000,0.053918,18546570.206,18.547,33,44,66,0.501968
Cuckoo,0.050000,8,50,1000000,0.054967,18192600.109,18.193,33,77,132,0.507306
Quotient,0.050000,8,50,1000000,0.080957,12352212.570,12.352,44,133,275,0.486291
BlockedBloom,0.050000,-1,60,1000000,0.049120,20358415.607,20.358,33,44,45,0.431527
XOR,0.050000,8,60,1000000,0.052408,19080930.718,19.081,33,44,55,0.402340
Cuckoo,0.050000,8,60,1000000,0.066753,14980516.864,14.981,33,111,143,0.408864
Quotient,0.050000,8,60,1000000,0.109495,9132854.131,9.133,55,165,375,0.389912
BlockedBloom,0.050000,-1,70,1000000,0.052913,18898876.609,18.899,33,44,55,0.336865
XOR,0.050000,8,70,1000000,0.053918,18546570.550,18.547,33,44,121,0.302691
Cuckoo,0.050000,8,70,1000000,0.066757,14979762.865,14.980,33,121,188,0.310324
Quotient,0.050000,8,70,1000000,0.088791,11262349.828,11.262,44,143,320,0.293245
BlockedBloom,0.050000,-1,80,1000000,0.056655,17650711.171,17.651,33,45,56,0.242102
XOR,0.050000,8,80,1000000,0.056260,17774726.213,17.775,33,44,110,0.203095
Cuckoo,0.050000,8,80,1000000,0.071514,13983205.806,13.983,33,121,209,0.211782
Quotient,0.050000,8,80,1000000,0.139046,7191860.994,7.192,110,177,397,0.196506
BlockedBloom,0.050000,-1,90,1000000,0.052315,19115154.527,19.115,33,45,56,0.147388
XOR,0.050000,8,90,1000000,0.057156,17495927.254,17.496,33,44,110,0.103499
Cuckoo,0.050000,8,90,1000000,0.078828,12685789.251,12.686,33,132,309,0.113262
Quotient,0.050000,8,90,1000000,0.109661,9119012.312,9.119,77,165,385,0.099431
BlockedBloom,0.010000,-1,0,1000000,0.049658,20137632.664,20.138,33,44,45,1.000000
XOR,0.010000,12,0,1000000,0.054775,18256426.888,18.256,33,44,88,1.000000
Cuckoo,0.010000,12,0,1000000,0.078705,12705652.581,12.706,33,132,265,1.000000
Quotient,0.010000,12,0,1000000,0.100409,9959282.569,9.959,44,155,364,0.972029
BlockedBloom,0.010000,-1,10,1000000,0.048590,20580246.043,20.580,33,44,45,0.901300
XOR,0.010000,12,10,1000000,0.053403,18725404.065,18.725,33,44,55,0.900023
Cuckoo,0.010000,12,10,1000000,0.068002,14705435.135,14.705,33,121,188,0.900081
Quotient,0.010000,12,10,1000000,0.094525,10579255.274,10.579,44,144,352,0.873003
BlockedBloom,0.010000,-1,20,1000000,0.052510,19043911.107,19.044,33,44,66,0.802625
XOR,0.010000,12,20,1000000,0.056074,17833654.978,17.834,33,44,121,0.800045
Cuckoo,0.010000,12,20,1000000,0.068460,14607101.827,14.607,33,122,209,0.800160
Quotient,0.010000,12,20,1000000,0.128146,7803603.892,7.804,110,209,397,0.775245
BlockedBloom,0.010000,-1,30,1000000,0.053873,18562080.284,18.562,33,44,111,0.703907
XOR,0.010000,12,30,1000000,0.058940,16966318.143,16.966,33,45,132,0.700069
Cuckoo,0.010000,12,30,1000000,0.078590,12724243.640,12.724,33,132,286,0.700260
Quotient,0.010000,12,30,1000000,0.140238,7130714.453,7.131,110,209,407,0.678307
BlockedBloom,0.010000,-1,40,1000000,0.051142,19553505.861,19.554,33,44,45,0.605271
XOR,0.010000,12,40,1000000,0.052889,18907428.568,18.907,33,44,110,0.600086
Cuckoo,0.010000,12,40,1000000,0.067567,14800045.028,14.800,33,121,176,0.600361
Quotient,0.010000,12,40,1000000,0.090974,10992150.758,10.992,44,143,331,0.581670
BlockedBloom,0.010000,-1,50,1000000,0.051793,19307606.077,19.308,33,44,55,0.506614
XOR,0.010000,12,50,1000000,0.058768,17015997.437,17.016,33,45,121,0.500105
Cuckoo,0.010000,12,50,1000000,0.078816,12687855.919,12.688,33,132,309,0.500432
Quotient,0.010000,12,50,1000000,0.097669,10238692.173,10.239,44,154,363,0.485130
BlockedBloom,0.010000,-1,60,1000000,0.050673,19734471.891,19.734,33,44,45,0.407922
XOR,0.010000,12,60,1000000,0.052554,19027892.016,19.028,33,34,110,0.400125
Cuckoo,0.010000,12,60,1000000,0.057760,17313033.478,17.313,33,110,132,0.400545
Quotient,0.010000,12,60,1000000,0.122816,8142283.804,8.142,110,187,397,0.388602
BlockedBloom,0.010000,-1,70,1000000,0.051848,19287102.034,19.287,33,44,55,0.309202
XOR,0.010000,12,70,1000000,0.053508,18688887.455,18.689,33,44,121,0.300137
Cuckoo,0.010000,12,70,1000000,0.055551,18001385.711,18.001,33,110,122,0.300633
Quotient,0.010000,12,70,1000000,0.073732,13562693.490,13.563,33,132,232,0.291796
BlockedBloom,0.010000,-1,80,1000000,0.055710,17950018.174,17.950,33,45,56,0.210499
XOR,0.010000,12,80,1000000,0.054728,18272198.789,18.272,33,44,121,0.200161
Cuckoo,0.010000,12,80,1000000,0.073061,13687114.399,13.687,33,122,265,0.200716
Quotient,0.010000,12,80,1000000,0.124579,8027022.683,8.027,110,187,397,0.194895
BlockedBloom,0.010000,-1,90,1000000,0.055176,18123928.706,18.124,33,45,66,0.111832
XOR,0.010000,12,90,1000000,0.055585,17990374.430,17.990,33,44,110,0.100188
Cuckoo,0.010000,12,90,1000000,0.064304,15551134.299,15.551,33,122,231,0.100805
Quotient,0.010000,12,90,1000000,0.076261,13112842.977,13.113,33,132,265,0.097635
BlockedBloom,0.001000,-1,0,1000000,0.049665,20135079.807,20.135,33,44,55,1.000000
XOR,0.001000,16,0,1000000,0.053901,18552401.043,18.552,33,44,55,1.000000
Cuckoo,0.001000,16,0,1000000,0.059583,16783278.564,16.783,33,121,143,1.000000
Quotient,0.001000,16,0,1000000,0.100480,9952259.113,9.952,45,155,363,0.972363
BlockedBloom,0.001000,-1,10,1000000,0.052263,19133910.066,19.134,33,44,66,0.900361
XOR,0.001000,16,10,1000000,0.070015,14282586.399,14.283,33,45,121,0.900002
Cuckoo,0.001000,16,10,1000000,0.076489,13073845.906,13.074,33,132,264,0.900004
Quotient,0.001000,16,10,1000000,0.089695,11148903.292,11.149,44,144,341,0.873311
BlockedBloom,0.001000,-1,20,1000000,0.051064,19583342.456,19.583,33,44,55,0.800655
XOR,0.001000,16,20,1000000,0.053304,18760209.775,18.760,33,44,55,0.800004
Cuckoo,0.001000,16,20,1000000,0.058682,17041087.767,17.041,33,121,133,0.800007
Quotient,0.001000,16,20,1000000,0.081179,12318449.460,12.318,34,143,298,0.775477
BlockedBloom,0.001000,-1,30,1000000,0.052467,19059478.763,19.059,33,44,56,0.700954
XOR,0.001000,16,30,1000000,0.054206,18448178.348,18.448,33,44,56,0.700008
Cuckoo,0.001000,16,30,1000000,0.080844,12369513.079,12.370,33,132,309,0.700012
Quotient,0.001000,16,30,1000000,0.080089,12486137.422,12.486,34,133,275,0.678476
BlockedBloom,0.001000,-1,40,1000000,0.055020,18175287.305,18.175,33,44,88,0.601286
XOR,0.001000,16,40,1000000,0.052324,19111761.760,19.112,33,44,55,0.600009
Cuckoo,0.001000,16,40,1000000,0.057611,17357818.851,17.358,33,121,154,0.600015
Quotient,0.001000,16,40,1000000,0.078791,12691844.206,12.692,34,133,265,0.581813
BlockedBloom,0.001000,-1,50,1000000,0.052394,19086099.533,19.086,33,44,56,0.501597
XOR,0.001000,16,50,1000000,0.054573,18324124.667,18.324,33,44,55,0.500009
Cuckoo,0.001000,16,50,1000000,0.065762,15206277.334,15.206,33,121,187,0.500020
Quotient,0.001000,16,50,1000000,0.088739,11269025.341,11.269,44,144,320,0.485240
BlockedBloom,0.001000,-1,60,1000000,0.056192,17796096.209,17.796,33,45,67,0.401900
XOR,0.001000,16,60,1000000,0.053529,18681346.868,18.681,33,44,110,0.400009
Cuckoo,0.001000,16,60,1000000,0.060423,16550067.031,16.550,33,121,143,0.400028
Quotient,0.001000,16,60,1000000,0.095029,10523107.682,10.523,44,154,342,0.388630
BlockedBloom,0.001000,-1,70,1000000,0.053980,18525221.218,18.525,33,44,66,0.302245
XOR,0.001000,16,70,1000000,0.053124,18824037.528,18.824,33,44,55,0.300009
Cuckoo,0.001000,16,70,1000000,0.060813,16443835.701,16.444,33,121,133,0.300039
Quotient,0.001000,16,70,1000000,0.082158,12171612.482,12.172,44,133,276,0.291756
BlockedBloom,0.001000,-1,80,1000000,0.061479,16265694.260,16.266,33,55,88,0.202570
XOR,0.001000,16,80,1000000,0.056577,17675101.932,17.675,33,44,111,0.200012
Cuckoo,0.001000,16,80,1000000,0.061032,16384775.345,16.385,33,121,154,0.200045
Quotient,0.001000,16,80,1000000,0.078690,12708099.578,12.708,34,143,264,0.194752
BlockedBloom,0.001000,-1,90,1000000,0.064163,15585270.224,15.585,33,55,110,0.102906
XOR,0.001000,16,90,1000000,0.060716,16470020.659,16.470,33,44,121,0.100014
Cuckoo,0.001000,16,90,1000000,0.063657,15709256.598,15.709,33,121,176,0.100047
Quotient,0.001000,16,90,1000000,0.101595,9843026.368,9.843,44,154,352,0.097499
